participant_id	age	sex	group
sub-101	19	F	dataset_1
sub-102	19	F	dataset_1
sub-103	19	F	dataset_1
sub-104	18	F	dataset_1
sub-105	19	F	dataset_1
sub-106	22	M	dataset_1
sub-107	19	M	dataset_1
sub-108	19	F	dataset_1
sub-109	20	F	dataset_1
sub-110	21	F	dataset_1
sub-111	18	M	dataset_1
sub-112	20	M	dataset_1
sub-113	21	M	dataset_1
sub-114	19	F	dataset_1
sub-115	18	F	dataset_1
sub-116	21	F	dataset_1
sub-117	19	M	dataset_1
sub-118	20	F	dataset_1
sub-119	26	F	dataset_1
sub-120	19	F	dataset_1
sub-121	20	M	dataset_1
sub-122	23	F	dataset_1
sub-123	23	F	dataset_1
sub-124	19	F	dataset_1
sub-125	18	F	dataset_1
sub-126	19	F	dataset_1
sub-127	19	F	dataset_1
sub-128	21	M	dataset_1
sub-129	24	M	dataset_1
